ep,title,createAt,description,mention,content,attend,link,remark
EP40,筷子 怪異 推理  台灣的妖怪文化 feat. 瀟湘神老師,2020/3/18,本期與獨步出版社合作 邀請推理作家瀟湘神談論最新的著作 《筷：怪談競演奇物語》 從一雙筷子引發的怪異 一直聊到台灣當代妖怪文化的演變,《筷：怪談競演奇物語》,,瀟湘神,https://open.firstory.me/story/ck86pmwf6orbs08733zasgn6m,
EPSP,閒聊特輯：有限社交指南,2020/4/13,,,,,,
EP41,女巫與燈塔：陷入羅柏艾格斯的寓言深淵,2020/4/26,一個導演 如何只靠兩部片就征服影迷與坎城影展的觀影味蕾 在華麗特效飛舞的年代 從老派的寓言故事，到 1：1 的黑白電影 羅柏艾格斯如同碩果僅存的工匠 在他自己的世界中打磨純粹的電影 跟著尼爾與 woffy 一起進入他深邃迷人的世界吧,,,,https://open.firstory.me/story/ck9h8uvjcvvov08735je62vux,
尼爾不喝牛奶,工作、大典、歌劇魅影第二集,2020/5/9,"全新閒聊單元
回應粉絲問題與分享最近看的作品

尼爾喝牛奶不喝牛奶但是同樣精彩
本期節目重點
聊聊兩人的工作
尼爾看得政治諷刺小說《大典》
讓 woffy 忍不住吐槽到口條超流利的歌劇魅影第二集",,,,https://open.firstory.me/story/ck9zaa60iaol80873l71rgdgg,
尼爾不喝牛奶,周遊記真ㄉ難看，今晚來點虎王與午夜福音,2020/5/18,"眾所好評，劇透注意
尼爾不喝牛奶隆重推出第二集
別擔心尼爾以後還是會喝牛奶

本次依舊 NETFLIX 滿滿
聊聊我們都後悔看的
以及讚不絕口的虎王與午夜福音",,,,https://open.firstory.me/story/ckacmf070b0330873l4n6m6dc,
EP42,那些關於抄襲、戲仿、致敬與二創的愛恨情仇,2020/5/26,"雖然抄襲與二創並不是次文化 但卻深深影響著次文化的發展 你知道除了抄襲原作者 甚至有原作反抄二創的情況嗎？ 抄襲與盜取創意真的是罪大惡極嗎？ 那些關於抄襲、戲仿、致敬與二創的愛恨情仇 就讓尼爾與 WOFFY 一起聊聊吧 (其實我覺得一集實在聊不完 

【補充與勘誤】 關於「獅子王抄襲小白獅」的消息，後續看到這個講解影片，提到抄襲的證據是以不同年代的影片穿鑿附會等等，所以尼爾和woffy所說可能有誤，詳情可按進噗內觀看：https://www.plurk.com/p/nuexu3",,,,https://open.firstory.me/story/ckao4300savhj0873dgpdxr8e,
尼爾不喝牛奶,做工的人有點好看！養寵物都給我去看汪星人的奇幻漂流,2020/6/6,"台劇做工的人乍看之下是喜劇
但其實描寫的深度比想像中更厚，透過悲喜交加的劇情
讓中產觀眾們得以一窺工人階級弱弱相助的社會

汪星人的奇幻漂流讓哭點極高的尼爾爆哭
動畫音樂敘事方式真是情感爆擊的三位一體",,,,https://open.firstory.me/story/ckb3tyixp84530873dxxlwnpe,
EP43,決鬥！阿宅可以跟初音結婚嗎？,2020/6/19,"虛擬角色虛擬偶像先分清楚，從宅開始的哲學探討
開始用農場標題的我是否有點墮落？",,,,https://open.firstory.me/story/ckbmcis2xe4jq087330h1225j,
尼爾不喝牛奶,BEASTARS 跌落神壇 羅蘭大人請收下這期節目吧,2020/6/21,"不是每部作品都能維持當初的味道
世界第一的男人是阿宅的夥伴",,,,https://open.firstory.me/story/ckbp8tyud40to0873jf9g3ewg,
尼爾不喝牛奶,異獸魔都異常好看 反正我很閒其實不太閒,2020/6/23,"尼爾毫不重要的名字由來
異獸魔都真的是異常好看
woffy 的反正我很閒迷妹歷史大公開",,,,https://open.firstory.me/story/ckbr9x8fs31270918786eu0wv,
EP44,有一種燃是扣下扳機的 TRIGGER,2020/7/3,有一間動畫公司 成立不到十年就與動畫界巨頭們平起平坐 不斷挑戰動作場景與畫面的可能性，只要掛上名號就是品質保證 不只在日本，更受到歐美市場歡迎 獲得 NETFLIX 投資獨佔 你信嗎？ 因為他是 TRIGGER，至少我是信了,,,,https://open.firstory.me/story/ckc6dfktfjz870918j8z3uqio,
加點牛奶,AKIRA 的神倒不只動畫好看而已,2020/7/6,神作 AKIRA 到底神在哪裡 除了動畫很厲害以外 在那個 JUMP 還沒進入全盛期， 寶可夢、EVA 都還沒做出來的泡沫年代 AKIRA 如何寫下日本 ACG 歷史的新篇章,,,,https://open.firstory.me/story/ckcan03ngnmbk091886z7nbwl,
EP45,湯淺政明：動畫是流動的畫,2020/7/12,日本動畫界的異才 經常被內容農場標題耽誤的導演 在流動的畫與線條之間 打開動畫嶄新的一頁,,,,https://open.firstory.me/story/ckcj5hxm9c2yy0918d7fzm8ha,
尼爾不喝牛奶,金田大車隊上車囉，今天我來說個蝸牛打炮的故事,2020/7/15,"試著延長節目時間，希望聽得過癮也可以斗內一下
金田大車隊的謎樣狂潮
寶可夢劍盾不如預期美好
我的動森現在才開始
伊藤潤二之蝸牛打炮",,,,https://open.firstory.me/story/ckcmhcrd2jm100918050xl3a9,
EP46,該聊北影了：還好我們能在影展看《不散》,2020/7/23,北影 woffy 看了好多片 但想想還是來推薦台灣好片 電影是用聽的《 推拿》 拍電影的人拍電影的《江湖無難事 》 電影院告別時應該要播的《 不散》 woffy 的片單： 鳥是海與樹的孩子 / 她房間裡的雲 / 氣球 / ㊣麥肯齊金總理秘史♂ / 鬼怪屋 / 不散 / 推拿 / 江湖無難事 / 後人類傳說,,,,https://open.firstory.me/story/ckcyz4opsrpll0870phchtmg5,
尼爾不喝牛奶,庫洛魔法使真的是又讚又不妙的童年,2020/7/29,"聊完才發現這期的主題是性別多元
長大後看《庫洛魔法使》發現髒的不是這部動畫，而是我身為大人的心
謝謝東昊請我們看《曼哈頓戀舞曲》
15年前的《少年阿要光耀耽美》來個歷史 BL 大吐槽",,,,https://open.firstory.me/story/ckd65b01gn63q0856wyfvn43b,
EP47,真夜中的一曲入魂,2020/8/9,本集就是瘋狂安莉大家喜歡而且適合晚上聽的樂團 推薦大家一定要搭配播放清單服用 最好是節目聽一遍，搭配播放清單的音樂再聽一遍 播放清單： https://open.spotify.com/playlist/3tRvHDnU1YkaWUfdkBee7w?si=zcONH3cKReCgDdF7RdvHzQ,,,,https://open.firstory.me/story/ckdn8j8pyrzot0862ffw857no,
尼爾不喝牛奶,哆啦你今晚的噩夢與人生的哲學,2020/8/17,,,,,,
EP48,今晚我想來點黃金深淵飯,2020/8/23,,,,,,
尼爾不喝牛奶,關於我 COS 成惡魔貓男那檔事,2020/8/26,,,,,,
EP49,我是都念 Emoji 啦  feat.字型腦補 A Knob of Font,2020/8/31,,,,,,
不喝牛奶,別看木蘭看諾蘭，天能尼爾夭壽讚,2020/9/7,,,,,,
EP50,終於達標的真心話大公開,2020/9/20,,,,,,
EP51,雄影特集：該來點 VR 了，寶貝,2020/9/29,,,,,,
不喝牛奶,攀山、洋風和魂，我看了一部六小時的電影,2020/10/9,,,,,,
EP52 ,沒有尼爾不喝牛奶的那集：《迴轉企鵝罐》《穴界風雲》《和山 やま》《幻愛》,2020/10/26,,,,,,
EP53,為什麼你家小孩都在看 VTUBER,2020/10/31,,,,,,
EP54 ,讓嗨呀再次偉大，我可不知道會發生什麼事那集,2020/11/10,,,,,,
EP55,人外與獸控，在動物性上尋求歡愉是天性嗎,2020/11/14,,,,,,
EP56,睡覺是為了做夢那集：林海象、草率季、無聲、親愛的房客,2020/11/19,,,,,,
EP57 ,從前有個被票房遺棄的迪士尼：星銀島、失落的帝國、變身國王,2020/11/23,,,,,,
EP58,我說那個紀錄片跟你想的不一樣 feat. Giloo 行銷經理 RURU,2020/12/2,,,,,,
EP59,當個可生存的漫畫家 feat.謝東霖,2020/12/9,,,,,,
EP60 ,我覺得少年漫畫改變了 《鏈鋸人》《咒術迴戰》《約定的夢幻島》《鬼滅之刃》,2020/12/21,,,,,,
EP61 ,電子書實體書斗幾！我只想看伍佰萌來萌去與超時空戀情,2020/12/30,,,,,,
EP62 ,尼爾還是去看了迪士尼的那集《靈魂急轉彎》、《MIU404》、《葬送的芙莉蓮》,2021/1/18,,《MIU404》,,,,
EP63,末世之後有你有我：淺談末日公路旅行《少女終末旅行》/《天國大魔境》/《地球下課後》/《瘋狂麥斯》/《屍樂園》,2021/1/26,,,,,,
EP64 ,復古是當代空虛的解藥：NEW RETRO STYLE 與類比時代的美好,2021/2/4,,,,,,
EP65 ,性愛不只性與愛：《永田カビ》、《廢廢子の充氣大冒險！》、《T子%%走》、《幾花丹色》,2021/2/13,,,,,,
EP66,獻給所有曾熱愛畫畫的人《藍色時期》、《塗鴉日記》,2021/2/22,,,,,,
EP 67,虐戀一籮筐之大人的戀愛好難《即使成為大人》、《昨日之歌》、《優柔有情人》、《翼國留學記》,2021/3/3,,,,,,
EP68 ,為什麼作品裡的天使都很機車？聊聊正邪翻轉新套路,2021/3/11,,,,,,
EP69 ,煞氣浪漫ㄉ宇宙狂氣物語 《超時空甩尾》、《太空頻道 5 》、《雷神索爾 3》、《銀河便車指南》、《星際牛仔 Cowboy Bebop 》,2021/3/16,,,,,,
EP70,沒人在乎的中年異男危機 《同學麥娜絲》、《醉好的時光》,2021/3/24,,,,,,
EP71,這些年我還在重翻的搞笑作品《搞笑漫畫日和》《天體戰士桑雷德》《男子高中生的日常》《屬性同好會》《戰勇》《校園迷糊大王》《銀魂》,2021/3/30,,,,,,
EP72,只會在那個夏天閃耀的物語《夏日大作戰》、《企鵝公路》、《春宵苦短，少女前進吧！》,2021/4/6,,,,,,
EP73 ,希望大家不要吵架《消失的情人節炎上》、《國王排名》、《青春電幻物語》、《兩人之間》,2021/4/15,,,,,,
EP74 ,純真與惡一線之隔《蜂巢的幽靈》、《科學怪人》、《科學怪人的新娘》、《飼養烏鴉》、《超越無限兩分鐘》,2021/4/20,,,,,,
EP75 ,奧斯卡前夜緊急動員《父親》、《游牧人生》、《猶大與黑色彌賽亞》、《花漾女子》,2021/4/26,,,,,,
EP76 ,人老了就只想看人家放閃：《汗皂交香》、《冰屬性男子與無表情女子》、《阿宅的戀愛太難》、《完全聽不懂老公在說什麼》《愉快的失憶》、《明天兩人亦如此》,2021/5/5,,,,,,
EP77 ,愛到卡慘死但還是愛啦 《My Broken Mariko》、《我的單戀比世界危機更重要》、《咒術迴戰0卷》、《惡魔人》,2021/5/13,,,,,,
EP78,A漫不是只有 H 而已《變身成黑辣妹之後就和死黨上床了》、《關西人與蒙面殺人魔》、《 Love me tender 溫柔地愛著我》、《與僧侶交合的色慾之夜》,2021/5/20,,,,,,
EP79 ,致追求真理的人們《地。關於地球的運動》、《懲役339年》、《Dr.STONE 新石紀》、《歷史之眼》、《空想科學大戰》,2021/5/26,,,,,,
EP80,從紀錄裡找回生活《佔領立法會》  《理大圍城》  《法蘭克的B面人生》《假裝我們在城市》,2021/6/2,,,,,,
EP81 ,聊聊日劇與有餘裕才能談戀愛那集 《大豆田永久子與三個前夫》《喜劇開場》《dele 刪除人生》,2021/6/9,,,,,,
EP82 ,夏天就是要發生怪異事件吧《物怪》、《XXX HOLIC 次元魔女》、《岸邊露伴一動也不動》、《膽小狗英雄》、《校園人魚》、《女僕咖啡廳》,2021/6/18,,,,,,
EP83  ,用日常編織慢熱的幽默《ODD TAXI 奇巧計程車》、《瀨戶與內海》,2021/6/24,,,,,,
EP84,戲中有戲之好萊塢中年存在危機《好萊塢教父》、《從前有個好萊塢》、《鳥人》、《紐約浮世繪》、《爵士春秋》,2021/7/1,,,,,,
EP85 ,關於滲透的文字：上篇《靡靡》、《煮雪的人》、《蔡仁偉》、《任明信》、《鯨向海》,2021/7/7,,,,,,
EP86,從昆汀到藤本樹 《LOOK BACK》、《從前，有個好萊塢》,2021/7/23,,,,,,
EP87,安靜並不總是沒有聲音《青葉市子》《haruka nakamura（中村遼）》《Keaton Henson》《Nils Frahm》,2021/8/4,,,,,,
番外篇,我就是大名鼎鼎的貓殺手Jonny Walker 噠！,2021/8/11,,,,,,
EP88 ,遠端錄音終於結束啦！！《怪物事變》、《膽大黨》、《SPY×FAMILY間諜家家酒》,2021/8/17,,,,,,
EP89,真的沒有把斗內拿去斗 VTuber 《懶貓子》、《瀕臨絕種團》、《hololive》,2021/8/25,,,,,,
EP90,畫出神作的胸部星人クール教信者《平穩世代的韋駄天們》、《小森同學拒絕不了！》、《小林家的龍女僕》、《關於完全聽不懂老公在說什麼的事》,2021/8/31,,,,,,
EP91 ,人就這樣壞掉了：李滄東特輯《綠洲》、《薄荷糖》、《燃燒烈愛》、《密陽》,2021/9/8,,,,,,
EP92 ,邪典電影沒有那麼邪啦 PART1《鼴鼠》《裸體午餐》《發條橘子》,2021/9/14,,,,,,
雜談,很有餘裕才能不去在意那集,2021/9/22,,,,,,
EP93,邪典電影沒有那麼邪啦 PART2《沙丘》《粉紅火鶴》《洛基恐怖秀》《房間》《台北物語》,2021/9/22,,,,,,
雜談,關於衣櫃逐漸變成 UNIQLO  形狀那集,2021/9/28,,,,,,
EP94,雄影特集，聽說要把影展送到你家,2021/10/6,,,,,,
雜談,台北鄉巴佬高雄一日遊以及把問題丟給別人那集,2021/10/8,,,,,,
EP95,迎向史上第 N 波生存遊戲熱潮《魷魚遊戲》《賭徒默示錄》《今際之國的闖關者》《要聽神明的話》《天空侵犯》《急戰5秒殊死鬥》,2021/10/19,,,,,,
雜談,時間與神都不復存在那集《流行大百科》《女巫》,2021/10/23,,,,,,
EP96,逃出作品中的刻板親熱套路《環太平洋》《黑色追緝令》《極凍之城》《紳士密令》《A+瞎妹》《不可逆轉》《 村上春樹》《淺野一二O 》《Ryan Creamer》,2021/10/26,,,,,,
EP97,平凡人物的不凡戰鬥《MY HOME HERO》《小鎮滋味》,2021/11/4,,,,,,
雜談,每個數字背後都有一個真實的觀眾那集,2021/11/20,,,,,,
EP98,重回廣播的顫慄與浪漫《深夜放送》《聽我的電波吧》,2021/11/26,,,,,,
雜談,認真批評是因為在意那集,2021/12/1,,,,,,
EP99,整體應該還是在聊金馬...吧？《時代革命》《犬山記》《漩渦 Vortex》《颱風俱樂部》《愛情賓館》《搬家》,2021/12/8,,,,,,
EP99.1,為什麼我們會喜歡電影《法蘭西特派週報》,2021/12/12,,,,,,
雜談,毫無建設性送禮建議與慶生狂人那集,2021/12/21,,,,,,
EP100,假裝成聽眾問答的濃縮牛奶總集篇,2021/12/24,,"《女巫》
《燈塔》
《仲夏魘》
《宿怨》
《夜鶯的哭聲》
《鬼敲門》
《牯嶺街少年殺人事件》
《騷人》","►做節目的契機？
一開始是開Google Hangouts和朋友聊天，朋友提到很像在聽廣播節目，於是把聊天錄下來上傳
尼爾寫的文章：尼爾手動人類 https://medium.com/@neildrinkmilk
►兩人的星座與感情觀？
兩人都是雙魚座
我非：用去山上滑雪比喻，別人都說很棒，但很麻煩
尼爾：村上春樹的草莓蛋糕理論信仰者
►我非恐怖驚悚片推薦
A24電影公司出品的電影，有獨立文藝片的氣質的片，屬於壓抑、氛圍很可怕的感覺
►最喜歡的台灣電影
兩人都選《牯嶺街少年殺人事件》，尼爾高中時喜歡《騷人》",尼爾、WOFFY,,
EP101,年末最喜歡的電影《偶然與想像》,2021/12/29,,,,,,
EP102,遊戲是我們自願受的苦難《奧里與迷失森林》《空洞騎士》《鹽與聖所》,2022/1/5,,,,,,
牛奶加點棉花糖,行銷職涯、尼爾自動人形、騷人、DD,2022/1/7,,"《尼爾：自動人形》
《騷人》","►尼爾對行銷的想法
工作是擅長做、但不特別喜歡，是養活自己的手段
►怎麼在看直播和看作品中平衡時間？
「只要不要睡覺就好囉」把任何零碎時間拿來看精華",尼爾,,
EP103,重新擁抱那灰色的青春《我不受歡迎怎麼想都是你們的錯》《古見同學有交流障礙症》《志乃同學說不出自己的名字》,2022/1/9,,"《我不受歡迎怎麼想都是你們的錯》
《古見同學有交流障礙症》
《志乃同學說不出自己的名字》
《在下坂本，有何貴幹？》
《湯神君沒有朋友》
《變身》",,尼爾、WOFFY,,
牛奶加點棉花糖,本命音樂、VTuber、韓吉、失眠保暖旅遊秘訣,2022/1/14,,,,WOFFY,,
雜談,我還沒上車那集《在車上》《鈦》,2022/1/17,,,,,,
EP104,我們也是有在聽中文歌?《萬能青年旅店》 《透明雜誌》 《泥灘地浪人》 《草東沒有派對》 《ゲシュタルト乙女》 《無妄合作社》 《落差草原》,2022/1/25,,,,,,
牛奶加點棉花糖,罪惡ㄉ愉悅、彩虹社 Luxiem、新年新希望,2022/1/27,,,,,,
EP105,被謊言編織的勇者之旅-上《尼爾：人工生命 ver.1.22》,2022/1/31,,,,,,
牛奶加點棉花糖,關於過年的一切、電影周邊收藏抉擇、UQ 新氣象,2022/2/3,,,,,,
EP106,被謊言編織的勇者之旅-下《尼爾：自動人形》,2022/2/9,,,,,,
雜談,換器材與新年處刑那集《常田大希》《TINDER 大騙徒》《虎王：安提爾博士的故事》《睡著也好醒來也罷》《炎拳》,2022/2/13,,,,,,
雜談,買回人生與快樂那集,2022/2/14,"本次節目由台新 Richart 數位銀行贊助播出
「Richart功能多元，介面好操作，是生活中不可或缺的好夥伴」

尼爾與 Woffy 兩個金融原始人，聊聊金錢與價值觀的改變，
聽了這集可能不會財富自由，但在這個被賺錢焦慮的時代，
可能會讓你比較安心與快樂",,,,https://open.firstory.me/story/ckzlwz3ji0ffu094259ogcu6d,
EP107,從音樂夢男到世界大師：坂本龍一的鬼才人生,2022/2/17,"woffy 主場回合
分享我們敬愛的龍一 aka 教授的鬼才人生
年少就嶄露音樂才華自栩德布西轉世，創作音樂超過 50 年的教授
該如何打開他的作品呢？

請聽夾雜了各種八卦跟私人愛好的分享

👉本集搭配歌單
woffy 推薦的專輯：
《Music for Film》
《THREE》
《神鬼獵人》OST
《Vrioon》
《async》

建議搭配的紀錄片：
《坂本龍一：終章》
《搖滾師匠：細野晴臣》",,,,https://open.firstory.me/story/ckzpry7u409b50878t5e0djoj,
雜談,對防水異常執著的男子與雨天的戰鬥那集,2022/2/22,"本集節目由 Reder 防潑水商務背包贊助播出
Reder 使用 CORDURA ®軍規布料，經驗豐富的台灣代工廠設計
硬挺的版型與超多收納空間，打造一座背著走的行動辦公室

尼爾喝牛奶官網優惠代碼：neildrinksmilk
購買網址：https://skyurl.cc/lrOllzS
使用優惠代碼即可折 NT200！

住在長年下雨的台北，由尼爾分享長年來在時尚與價位間反覆橫跳的旅程，
背包、外套、褲子、鞋子，從最簡單的塑膠雨衣到戶外品牌，
簡介機車族與雨天可歌可泣的戰鬥

順便推薦大家一些雨天可帥又不會貴到買不下去的品牌

PS：由於本集錄製於新器材轉換期間
仍有些許呼吸聲，請大家見諒近期就會調教好器材~~",,,,https://open.firstory.me/story/ckzwvmvzx0fsy0810pl5spzb3,
牛奶加點棉花糖,器材謝罪、提不起勁、想要享樂卻得自律,2022/2/26,"牛奶加點棉花糖是尼爾喝牛奶定期回答觀眾的單元
沒聽過節目的人可以先聽其他本篇喔~

為最近器材的問題 aka 過敏 ASMR 謝罪
關於很多人問的提不起勁追劇
以及想要享樂卻得先自律的矛盾",,,,https://open.firstory.me/story/cl02n60ji0lq00878dj8ydcdl,
EP108,無關好看而是必看《時代革命》《佔領立法會》《理大圍城》,2022/2/28,"時間過的很快，香港反送中運動已經過去三年
紀錄片《時代革命》在近期上映
台灣也是全世界唯一合法商業上映的國家

在香港政府試圖抹去這段歷史的今日
光是透過紀錄片去記憶這段歷史就是很有意義的事情

去討論這部片好不好看反而不太必要
因為光是能有這樣的紀錄就已經難能可貴

本集也會深度討論本片與《佔領立法會》《理大圍城》兩片的敘事觀點差異
期望能讓大家對反送中運動有更進一步的理解",,,,https://open.firstory.me/story/cl06um44u2q3f0815csp4eco7,
牛奶加點棉花糖,LINE貼圖、遊戲實況、在聽什麼 Podcast,2022/3/6,"牛奶加點棉花糖是尼爾喝牛奶定期回答觀眾的單元
沒聽過節目的人可以先聽其他本篇喔~

關於玩遊戲會暴怒的 Woffy 以及很想讓他實況法環的尼爾

我們推薦的 LINE 貼圖：
Deliciousの諧食底里 - 食物諧音梗
miuk的貼圖
刺蝟又在耍白癡
女校之星
I'M A LIVE

我們在聽的節目：
SBD怪獸講堂
衣櫥裡的讀者
字戀男與變焦女
不合時宜",,,,https://open.firstory.me/story/cl0fd0ek538sf089231433meu,
EP109,最近的漫畫畫功都好好《章魚P的原罪》《愚者之夜》《徹夜之歌》《海波追尋的終幕》,2022/3/10,"聊聊最近看的幾部潛力作品
《章魚P的原罪》日本賣到缺貨，細節滿滿的胃痛之作
《愚者之夜》未來 SF 設定，畫功紮實的劇情派
《徹夜之歌》在糖與檸檬間搖擺，男孩與美少女吸血鬼的戀愛
《海波追尋的終幕》喜歡電影的老太太，開始拍攝電影的故事",,,,https://open.firstory.me/story/cl0jw4zfk06gc0805f8mj7fp1,
EP110,好像沒人在意的奧斯卡,2022/3/16,"在車上橫掃各獎項，串流出品的犬山記展現傳統大片格局
本應頗有話題的奧斯卡，今年討論卻異常冷清

獎項權威的消失，逐漸不受時代青睞的價值
比起聊入圍作品，本集更集中在對獎項本身的討論

本集提到作品：
《貝爾法斯特 Belfast》
《千萬別抬頭 Don’t Look Up》
《沙丘 Dune》
《甘草披薩 Licorice Pizza》
《犬山記 The Power of the Dog》
《王者理查 King Richard》
《西城故事 West Side Story》
《樂動心旋律 CODA》
《在車上 Drive My Car》
《馬克白 The Tragedy of Macbeth》
《漂浪人生 Flee》
《倒數時刻 Tick, Tick... Boom!》",,,,https://open.firstory.me/story/cl0tqmf4p007v0h39g5hjggvl,
牛奶加點棉花糖,去哪看作品、本命CP、Vocaloid 特集、嘴的功能,2022/3/23,"加點棉花糖是尼爾喝牛奶聽眾的投稿單元
第一次聽的朋友可先聽其他本篇

積了一大堆棉花糖
回答各種奇怪的問題",,,,https://open.firstory.me/story/cl13j7y1p01zg0i2p1rczfecu,
EP111,遊戲時代不缺名作但缺朋友《艾爾登法環》《雙人成行》《吸血鬼倖存者》,2022/3/29,"在金馬奇幻季節之前，尼爾自己莫名沉迷進艾爾登法環
本期聊聊這款虐手大作讓 1000 萬斗M玩家一邊摔搖桿一邊大喊好玩的原因
也順便聊聊近期喜歡的其他遊戲

希望尼爾此生可以有一起玩法環的朋友。",,,,https://open.firstory.me/story/cl1b0c93e09370hvxczcp2kvi,
牛奶加點棉花糖,金馬奇幻前導、香港移民參政權、喜歡的 holomen、地獄的男聲女聲,2022/4/1,,,,,,
EP112,寫實漫畫文藝復興？《達爾文事變》《Dr.STONE 結局》《Trillion Game一兆＄遊戲》《我推的孩子》《這樣也好 こういうのがいい》,2022/4/9,,,,,,
EP113,迎接夏日的清爽歌單《NEVER YOUNG BEACH》《Yogee New Waves》《mitsume》《ADOY》《團團轉樂團》《Flipper's Guitar》《細野晴臣》,2022/4/16,,,,,,
雜談,真的不要再把藤本樹念藤井樹《魔都精兵的奴隸》《青春養成記 Turning Red》《再見繪梨》,2022/4/19,,,,,,
EP114,有時候你要很有錢才能穿得看起來很窮之不負責任日牌大比拚,2022/4/24,,,,,,
牛奶加點棉花糖,爆量棉花糖之遊戲政治正確、會做的主題、16型人格、超譯事件看法、有點小意外的癖好、我們真的不是情侶,2022/4/29,,,,,,
EP115,金馬奇幻回顧祈禱院線《賈克·大地》《尋人啟弒》《巴西》《不看鐵達尼號的男人》《考萊塢之命運迴圈》,2022/5/4,,,,,,
名為棉花糖的人生相談,最近喜歡的東西、21歲焦慮、兩人的職涯選擇、關於未來的遊戲直播,2022/5/10,,,,,,
EP116,讓人小嚇一跳的夏日驚悚《為了觸摸青野同學，所以我想死》《諸星大二郎》《藤子F不二雄異色短篇》《暗芝居》《陰陽眼見子》,2022/5/16,,,,,,
牛奶加點棉花糖,節目背後的自我意識、哥吉拉、異形,2022/5/21,,,,,,
EP117,這個作品好像有點克蘇魯耶《星之彩》《 滅絕》《 突變第三型 》《 迷霧驚魂》,2022/5/27,,,,,,
牛奶加點棉花糖,面試、手游課金、關於朋友很少的真相,2022/5/30,,,,,,
EP118,一個嚮往天空的夢《風起》《紅豬》《空中殺手》《ACE COMBAT》《最後流亡》《雲之彼端：約束的地方》,2022/6/9,,,,,,
雜談,今天我要吃到最棒的早餐,2022/6/13,,,,,,
牛奶加點棉花糖,從職涯到性癖我們都是誠實回答,2022/6/20,,,,,,
EP119,叫你改編沒有叫你超越誒《86－不存在的戰區》,2022/6/24,,,,,,
牛奶加點棉花糖,生活的答案與生活的樂高,2022/6/27,,,,,,
EP120,台灣短片的一擊《媽媽桌球》《主管再見》《山川壯麗》《野潮》《詠晴》《那天，我媽偷了老師的車》,2022/7/2,,,,,,
EP121,看過都說讚可是講不出口的神作《漂流少年》,2022/7/9,,,,,,
EP122,這人到底在畫三小但怎麼畫這麼好：漫畫家 PeterMann 專訪特輯,2022/7/16,,,,,,
LIVE Podcast,《咒》佛母就是個賣家毀約還被公審的可憐人,2022/7/19,,,,,,
EP123,感受日常對話的張力：諾亞‧波拜克特輯《邁耶維茨家的故事》《婚姻故事》《紐約哈哈哈》《青春倒退嚕》《親情難捨》,2022/7/26,,,,,,
EP124,我們在黑洞邊緣起舞：編舞家蘇文琪的未來世界,2022/8/7,,,,,,
雜談,你說的 V 是哪個 V 《DECO*27》《n-buna》《PinocchioP》《Kanaria》,2022/8/16,,,,,,
LIVE Podcast,捷克影展、草原上，我們開始跳舞、尼爾只喝妹仔酒、寶可夢性癖大對決、薯餅蛋餅宗教戰爭,2022/8/20,,,,,,
EP125,如果所有人都能被溫柔以待 《躍動青春》,2022/8/25,,,,,,
EP126,不只狂人與兄貴，用想像書寫歷史中的灰《黃金神威》完結感想,2022/9/3,,,,,,
LIVE Podcast,恐怖，恐怖到了極點的設計系鬼故事,2022/9/7,,,,,,
EP127,誒我們沒聊過巨人喔！？《進擊的巨人》完結後日談,2022/9/13,,,,,,
雜談,在嘔吐中度過的中秋與最近努力了一把的感想,2022/9/17,,,,,,
雜談,誒真的好想再去日本喔,2022/9/23,,,,,,
EP127,套路與反套路之好的作品就是好《電馭叛客：邊緣行者》《不！》,2022/9/28,,,,,,
雜談,想要轉職還得先對自己誠實,2022/10/4,,,,,,
EP128,我們的 YouTube 私藏清單,2022/10/9,,,,,,
Ep129,原來我的心智是高中生《水星の魔女》《路人超能100》《鏈鋸人》《秋葉原冥途戰爭》,2022/10/14,,,,,,
EP130,時間管理大師與任天堂的設計哲學《斯普拉遁3 Splatoon 3》,2022/10/20,,,,,,
EP131,性癖會歪掉只能怪他們了《侏儸紀公園》《 樂一通 》《KERORO軍曹》《蠟筆小新》《出包王女》《  卡通頻道 》,2022/10/25,,,,,,
雜談,台創祭與走鐘獎後日談,2022/11/2,,,,,,
雜談,從台海到選舉，即使很無聊我還是要去投票,2022/11/9,,,,,,
EP132,致未來的馬老師和羅蘭大人《天才狂歡派對》《孤獨搖滾》《睡覺的笨蛋》,2022/11/11,,,,,,
LIVE Podcast,金馬我大哥！woffy 的金馬中場點評,2022/11/21,,,,,,
雜談,棉花糖與中國電影的現況,2022/11/25,,,,,,
EP133,要當個在夾縫中行走的節目《在超市後門吸菸的二人》《感官世界》《花與愛麗絲》《在夾縫中行走》《天才狂歡派對：最終章 》,2022/12/4,,,,,,
EP134,能「看」見音樂的漫畫《BLUE GIANT 藍色巨星》,2022/12/10,,,,,,
雜談,想當憂鬱龍一的後盾《坂本龍一：Playing the Piano 2022》《憂鬱之島》《後盾計畫》,2022/12/15,,,,,,
EP135,聖誕有很多打開的方式《黑夜遊行》《求婚好意外》《俘虜》《愛是您・愛是我》《東京教父》《終極警探》,2022/12/21,"介紹一切風格差了不只很多
但意外都發生在聖誕節的作品
祝大家聖誕快樂",,,尼爾、WOFFY,https://open.firstory.me/story/clbxsj4h1022j01sj0p7uhqb0,
