ep,title,createAt,description,mention,content,attend,link,remark
EP09,強大不一定是你想要的：靈能百分百,2019/1/7,"追逐強大是多數少年作品的主軸 許多故事也告訴我們英雄應該挺身而出 然後擁有強大的力量就是好事嗎？一定得擔負起責任嗎？モブサイコ100 <靈能百分百>是由一拳超人原作者 ONE 於 2018 完結的漫畫，故事講述各方面都不起眼，卻擁有強大超能力的國中生影山茂夫，一邊面對超能力帶來的困擾，一邊尋找生活意義的故事 如果你還沒看過，就來聽聽尼爾和 woffy 介紹這部作品的魅力吧 

[勘誤與其他小補充] 
漫畫於裏Sunday連載網頁：https://urasunday.com/mobupsycho100/index.html 
動畫官方網站：http://mobpsycho100.com/ 
動畫二期 PV：https://www.youtube.com/watch?v=Pr43Sayk37s 
官方推特：https://twitter.com/mobpsycho_anime 
ONE老師推特：https://twitter.com/ONE_rakugaki
",,"►我非持有師匠等身抱枕，且被家人洗過
►原本預計要拆下抱枕套再移動卻被媽媽說可以直接抱著走，於是在西門町抱著抱枕走在街上",,https://open.firstory.me/story/cjyqpmw9w2qd307434uo4zxkz,
EP10,專訪李璐：小說與生活的形狀,2019/1/14,"對於小說家而言最重要的是甚麼？ 靈感、寫作技巧，還是整理文字的方法？ ㄜ………我想應該是能支持寫作的生活費吧。 尼爾對談史上最多提問失準的一次 是脫稿閒聊的訪談，也是小說家生活最真實的告白 一起來聽 李璐／尾行少女 過於現實的分享吧 

小補充： 
李璐／尾行少女粉專： https://www.facebook.com/StalkerShoujo/ 
李璐原創作品< 燕燕于飛>：http://sho.pe/EU3D5",,►尼爾說要請很多人來訪談然後日更,,https://open.firstory.me/story/cjyqpmw9z2qd50743k1cop5fu,
EP11,馬男波杰克：獻給自爛者的情書,2019/1/22,如果你受夠了勵志電影中的說教 看膩了毀滅後重生的套路 那麼你應該來看這部動畫影集 即使人生是一連串無意義的垃圾 生活也仍然會持續下去 跟著尼爾一起來聊聊，這部被評為史上最致鬱的喜劇 另外雖然 woffy 沒有登場 但是獻給自爛者的情書這個優美的標題是她說的喔,,,,https://open.firstory.me/story/cjyqpmwa22qd70743l5bip2dc,
EP12,淺談自由過頭的ZINE,2019/1/30,"ZINE 就是從 magazine 中拆出來的詞，中文又稱為小誌 少了 MAGA 的條理，ZINE的世界奔放自由，這幾年台灣的ZINE文化也非常野蠻有活力的生長 管你是詩集、攝影、隨手塗鴉筆記、昨天的午餐菜單，通通都能做成 ZINE，超級沒問題！ 

[勘誤與其他小補充] 
這期節目中提到的店家和活動 
mangasick：http://mangasick.blogspot.com/ 
田園城市：https://www.facebook.com/gardencitypublishers/ 
荒花：https://www.facebook.com/wildflowerbookstore/ 
朋丁：https://pon-ding.com/ 
草率季：https://www.facebook.com/taipeiartbookfair/ 
Not Big Issue 小誌 / 獨立刊物市集： https://www.facebook.com/notbigissue/ 
孔版印刷 RETRO印刷JAM：https://www.facebook.com/retroinsatsujam.taiwan/",,,,https://open.firstory.me/story/cjyqpmwa52qd90743e0o9tghu,
EP13,專訪米粒人主唱：獨立樂團大小事,2019/2/18,"你喜歡玩音樂嗎？有沒有想過要玩到甚麼程度？ 是一種興趣爽就好，還是你要發片，要大紅大紫？ 尼爾喝牛奶首次有粉絲自告奮勇上節目 就讓我們跟著台中獨立樂團米粒人的主唱浦淞 一起聊聊獨立樂團的大小事吧 

[勘誤與其他小補充] 
Post-hardcore風格補充：https://pse.is/G4UXM 
米粒人當初COVER的霍元甲：https://www.youtube.com/watch?v=shuI0Wq4Oxc",,,米粒人,https://open.firstory.me/story/cjyqpmwa82qdb0743ejr0mspg,
EP14,你有在看 NETFLIX 嗎,2019/2/25,"短短幾年的時間 NETFLIX 已經從小眾愛老者的樂園 變成一種觀影文化的代名詞 NETFLIX 在選片製片上有怎樣的喜好？ 為業界帶來甚麼樣的影響？ 傳統電影院迷們會抵制還是擁抱？ 一起來聽尼爾 & woffy 兩個 NETFLIX 愛好者發廚吧！ 

【勘誤與補充】 
尼爾說的＜泰坦＞並不是由 NETFLIX 製作，而是美國外的地方都是由netflix發行。此外雖然有角色中二的評價，但觀眾對於打鬥特效、劇情走向還是多有正評的",,,,https://open.firstory.me/story/cjyqpmwac2qdd07430bkwq39v,
EP15,身為大人也需要看繪本,2019/3/4,"繪本是許多人小時候的回憶 甚至是啟發閱讀的開端 然而長大了就不能看繪本了嗎？ 不只小孩，我們一輩子都需要圖像啟發的想像力 許多繪本由大人來看，說不定感觸更深喔 

【勘誤與小補充】 
在此補充這次節目提到的繪本 
英諾桑提：http://www.robertoinnocenti.com/ 
卡森艾莉絲：https://www.carsonellis.com/ 
愛德華‧戈里：https://www.books.com.tw/products/F010070747 
活了一百萬次的貓：https://www.books.com.tw/products/0010797064 
童里繪本洋行：https://www.maisontempsreves.com/pages/about 
生活在他方：https://www.facebook.com/elsewherecafe/ 
怪談繪本日本官網：http://www.iwasakishoten.co.jp/special/kaidan/ 
惡之書：https://www.books.com.tw/products/0010571672 
當鴨子遇見死神：https://www.books.com.tw/products/0010555209 
米飛兔：https://www.miffy.com/ 
野蠻遊戲跟迷走星球的Chris van：allsburghttps://hmhbooks.com/chrisvanallsburg/books.html 
陳志勇<抵岸>：http://www.shauntan.net/ 
最高的山，最深的海：https://www.books.com.tw/products/0010763181",,,,https://open.firstory.me/story/cjyqpmwaf2qdf0743sglliiff,
EP16,RISO印刷，最美的是缺陷,2019/3/18,"Risograph 孔版印刷近年在小誌、設計圈大紅 特殊的墨色與獨特的質感深得創作者們青睞 其中錯版、跑色、濃淡不均的驚喜 也成為最大的特色 本次節目邀請到曾在台北 RETRO JAM 工作 本身也是 RISO 創作者的 16 帶大家深度了解 RISO 的魅力 

【勘誤與補充】 
1.請原諒尼爾一直瘋狂把 RISO 講成 RETRO RISO 是孔版印刷的名稱，RETRO 則是店名
2.台北 RETRO JAM：https://www.jamtaiwan.com/ 
3.16 的粉專：https://www.facebook.com/16yiryo/ 
4.台灣 RISO 平面設計團隊 O.OO：http://odotoo.com/",,►『廢材的印刷方式』（出自受訪者轉述老闆言論），RISO介於手工與機器之間，單色印刷讓特殊色燙金也不是問題。但採用此列印方式前，先得了解自己對其缺點能否接受，如：位置不精準（有錯位可能）、顏色不均勻與易掉色等現象,16,https://open.firstory.me/story/cjyqpmwaj2qdh07434ql7eatr,
EP17,閒聊特輯：尼爾(喝牛奶)大揭密,2019/3/25,本期節目由上次來上節目的 16 大大主持 雖然她原本是想逼問尼爾的秘辛 但最後變成尼爾喝牛奶的誕生花絮 請大家用輕鬆的姿態聆聽,,,16,https://open.firstory.me/story/cjyqpmwam2qdj0743bpgb3yiw,
EP18,突發特輯：woffy 的金馬奇幻片單,2019/4/9,"woffy 提到的電影 
約翰卡本特恐怖特輯： http://www.goldenhorse.org.tw/news/detail/1153 
《異形 Alien》 https://www.youtube.com/watch?v=x3lUYKnADt4 
《藍色比爾街的沉默》： https://www.youtube.com/watch?v=JEAb52qoWFY 
《抱歉打擾你 Sorry to Bother You》 https://www.youtube.com/watch?v=0XD5w0zxkJo 
《爸媽死了，我卻不想哭》 https://www.youtube.com/watch?v=qf2lkNPg7ig 
《幸福的拉札洛》 https://www.youtube.com/watch?v=LlFUC-RpMkg 
《爛情詩》 https://www.youtube.com/watch?v=7C5HMAw9Wrk 
《假面天后》 https://www.youtube.com/watch?v=s7PJmlX_QUY 
《月球之旅》 https://www.youtube.com/watch?v=s7PJmlX_QUY 
長達14小時的《 花系列》",,,,https://open.firstory.me/story/cjyqpmwap2qdl0743czhf1wa2,連結錯置
